model,MSPE,RMSE,MAE,MPIW,Coverage_percent
STDK,0.4817796289920807,0.6900346040725708,0.5428542912006378,1.1724370002746582,64.36
STDK_plus_QLSTM,0.34873027801513673,0.5902861714363098,0.4656822085380554,1.6705730438232422,84.64
STDK_plus_QConvLSTM,0.32924494743347166,0.5734470844268799,0.4539773762226105,1.7345382213592528,86.0
