input_chunk_length,output_chunk_length,kernel_size,n_epochs,use_covariates,use_revin,batch_size,lr,weight_decay,const_init,Split,RMSE,MSE,MAE,R2
48,24,31,50,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.593843794,2.540338039,1.158389688,0.943620086
48,24,31,50,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.593903777,2.540529251,1.158764124,0.943538487
48,24,31,50,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.593946557,2.540665627,1.158834219,0.943529427
48,24,31,50,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.593946557,2.540665627,1.158830762,0.943530262
48,24,31,50,FALSE,TRUE,32,0.0003,1.00E-05,TRUE,TEST,1.59531438,2.545027971,1.17713201,0.942395568
60,24,31,50,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.5954234,2.545375824,1.162219644,0.943216324
60,24,31,50,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.59543782,2.545421839,1.162225246,0.943215191
60,24,31,50,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.59556678,2.545833349,1.162281156,0.943204343
48,24,31,50,FALSE,TRUE,32,0.0003,1.00E-06,TRUE,TEST,1.595734427,2.546368361,1.177406549,0.942350388
48,24,31,50,FALSE,TRUE,32,0.0003,0,TRUE,TEST,1.595781042,2.546517134,1.177436948,0.942345262
48,24,25,30,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.595858059,2.546762943,1.160729289,0.942186058
36,24,25,30,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.596380643,2.548431158,1.155794859,0.944400787
36,24,25,30,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.596410662,2.548527002,1.155816317,0.944399774
36,24,19,80,FALSE,TRUE,64,0.0003,0,TRUE,TEST,1.596557613,2.54899621,1.159007549,0.944984794
36,24,19,80,FALSE,TRUE,64,0.0003,1.00E-06,TRUE,TEST,1.596585911,2.549086571,1.159020543,0.944985032
36,24,25,30,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.596678717,2.549382925,1.156007886,0.94439131
60,24,31,50,FALSE,TRUE,64,0.0003,0.0001,TRUE,TEST,1.596811384,2.549806595,1.162861943,0.943097711
36,24,19,80,FALSE,TRUE,64,0.0003,1.00E-05,TRUE,TEST,1.596843037,2.549907684,1.159139037,0.944986343
