input_chunk_length,output_chunk_length,kernel_size,n_epochs,use_covariates,use_revin,Split,RMSE,MSE,MAE,R2
48,12,13,50,False,False,VAL,2.3052487481997814,5.31417179107666,1.6926641464233398,0.8832139372825623
48,12,13,50,False,False,TEST,1.8162329150116334,3.2987020015716553,1.3321638107299805,0.9144289493560791
48,12,13,50,False,True,VAL,2.253465420935238,5.07810640335083,1.6747183799743652,0.8504431843757629
48,12,13,50,False,True,TEST,1.9031236996199952,3.621879816055298,1.3784104585647583,0.9251598119735718
48,12,13,50,True,False,VAL,3.51763885462568,12.373783111572266,2.53041934967041,0.7519275546073914
48,12,13,50,True,False,TEST,2.108608078174735,4.44622802734375,1.608211636543274,0.8920982480049133
48,12,13,50,True,True,VAL,2.92531379255493,8.55746078491211,2.262566328048706,0.7777717709541321
48,12,13,50,True,True,TEST,1.9147069352204718,3.666102647781372,1.4073891639709473,0.9238569736480713
48,12,13,100,False,False,VAL,2.5434443297190774,6.469109058380127,1.8769842386245728,0.8369857668876648
48,12,13,100,False,False,TEST,2.018864829751032,4.075815200805664,1.4866509437561035,0.9062489867210388
48,12,13,100,False,True,VAL,2.3163239076848687,5.3653564453125,1.7365233898162842,0.8380262851715088
48,12,13,100,False,True,TEST,1.9529763126997493,3.8141164779663086,1.4514073133468628,0.9101496338844299
48,12,13,100,True,False,VAL,3.1300843648540075,9.797428131103516,2.2240946292877197,0.7956562638282776
48,12,13,100,True,False,TEST,2.2107433867415467,4.887386322021484,1.6179966926574707,0.8892383575439453
48,12,13,100,True,True,VAL,2.6617396455464664,7.084857940673828,2.0215704441070557,0.8038000464439392
48,12,13,100,True,True,TEST,2.040929881945977,4.1653947830200195,1.4906431436538696,0.9104554653167725
48,12,13,200,False,False,VAL,2.5502709525273843,6.503881931304932,1.8775471448898315,0.8394148945808411
48,12,13,200,False,False,TEST,2.6422783906486775,6.981635093688965,1.9046305418014526,0.8631910681724548
48,12,13,200,False,True,VAL,2.3670135534854957,5.602753162384033,1.7314060926437378,0.8463011384010315
