scenario,target,space_split,n_train_space,n_unobs_space,n_target_space,model,alpha_obs,lambda_unobs,row_type,seed,RMSE,MSE,MAE,R2
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,seed,41,4.493609,20.192522,3.546004,0.296740
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK,,,mean_std,mean +/- std,4.493609 +/- 0.000000,20.192522 +/- 0.000000,3.546004 +/- 0.000000,0.296740 +/- 0.000000
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK+NagQConvLSTM-truth(block5to5),,,seed,41,4.537173,20.585939,3.598405,0.283039
spatiotemp_100x150,Target_ST100x150,100/400/100,100,400,100,STDK+NagQConvLSTM-truth(block5to5),,,mean_std,mean +/- std,4.537173,20.585939,3.598405,0.283039
