seed,target,model,RMSE,MSE,MAE,R2,MPIW_90,coverage_90
41,Target_ST100x150,fitted_stdk,4.493609022706603,20.192522048950195,3.5460045337677,0.2967405539072452,,
41,Target_ST100x150,Spatial-adapter STDK+Nag-style location-specific QConvLSTM,4.537173063411691,20.585939407348633,3.5984046459198,0.2830387501145505,12.664237976074219,0.8418666666666667
