lead,MSPE_mean,MSPE_sample_sd,RMSE_mean,RMSE_sample_sd,MPIW_mean,MPIW_sample_sd,Coverage_percent_mean,Coverage_percent_sample_sd
1,7.417033630656396,1.1788941777860023,2.7162696653427987,0.22054686518662853,7.6598621826171875,0.21301767117000114,80.8,4.764451699828638
2,10.054473648867697,1.3427773176782987,3.1651769721978815,0.21250995134330816,7.681255561828612,0.25710338342598493,72.6,4.929503017546495
3,11.262869271656546,0.45027699389149645,3.355485589949228,0.0669489292262039,7.5509630393981935,0.23153191661581762,71.6,3.8470768123342687
4,9.949713516661921,0.8589463676394982,3.1519766679910313,0.13581513677642193,7.420684665679931,0.25930913254889065,76.6,4.505552130427524
5,5.710567021168098,1.4400361710620986,2.373867477930626,0.30683916469256656,7.4282960720062245,0.28492763883537076,83.8,7.694153624668537
