scenario,seed,pure_stdk_rmse,stdk_qconv_rmse,q_minus_pure_rmse,checkpoint_sha256
Time150,41,4.528860159115129,4.2396495667078815,-0.28921059240724745,d70b51b4a29b37fe72b53d972e5fa80a09f26e066fb82f780688671098573aa6
Time150,42,4.379718089328603,4.488405762116477,0.10868767278787406,4b65f1e290cbbfb37886516dc802f94be094b4c62271e68c3be5383229f86317
Time150,43,5.046356457978029,4.715584204556079,-0.3307722534219497,e073273d38146d034eb7d2f5560948f3312dce549f6f81c44b57c67c04c2cfdb
Time150,44,6.024848347255047,4.796645168303099,-1.228203178951948,34a52e1c32ec5d8e1155f33d9a820c39dfbdd47c88ef642bba6fc22632e5491c
Time150,45,4.645824666150594,4.8599756979629065,0.2141510318123121,af72860bdcc8fd82282c1bd7512e15acb8d6b88872f31a114802f90b5279eb90
Space100,41,5.287873217530168,4.681380282576674,-0.6064929349534944,d70b51b4a29b37fe72b53d972e5fa80a09f26e066fb82f780688671098573aa6
Space100,42,4.662347884164024,4.601807463105148,-0.06054042105887625,4b65f1e290cbbfb37886516dc802f94be094b4c62271e68c3be5383229f86317
Space100,43,4.802546723598702,4.598069216996629,-0.20447750660207298,e073273d38146d034eb7d2f5560948f3312dce549f6f81c44b57c67c04c2cfdb
Space100,44,5.2331904195397945,4.583173760612912,-0.6500166589268828,34a52e1c32ec5d8e1155f33d9a820c39dfbdd47c88ef642bba6fc22632e5491c
Space100,45,5.0778299568735905,4.820471366848723,-0.25735859002486716,af72860bdcc8fd82282c1bd7512e15acb8d6b88872f31a114802f90b5279eb90
ST100x150,41,4.493609022706603,4.537173063411691,0.043564040705088125,d70b51b4a29b37fe72b53d972e5fa80a09f26e066fb82f780688671098573aa6
ST100x150,42,4.4879531674041,4.7696266258507505,0.28167345844665004,4b65f1e290cbbfb37886516dc802f94be094b4c62271e68c3be5383229f86317
ST100x150,43,4.97100817150917,4.851893120402246,-0.11911505110692389,e073273d38146d034eb7d2f5560948f3312dce549f6f81c44b57c67c04c2cfdb
ST100x150,44,6.19552092424076,4.995143057270498,-1.2003778669702614,34a52e1c32ec5d8e1155f33d9a820c39dfbdd47c88ef642bba6fc22632e5491c
ST100x150,45,4.636275491199574,4.935377026719846,0.29910153552027197,af72860bdcc8fd82282c1bd7512e15acb8d6b88872f31a114802f90b5279eb90
