scenario,seed_count,pure_stdk_rmse_mean,pure_stdk_rmse_sd,stdk_qconv_rmse_mean,stdk_qconv_rmse_sd,paired_q_minus_pure_rmse_mean,paired_q_minus_pure_rmse_sd
Time150,5,4.9251215439654805,0.5927211326854513,4.620052079929288,0.22799634788578751,-0.30506946403619184,0.5086989059134552
Space100,5,5.012757640341256,0.24310048296044012,4.656980418028017,0.08864158276673523,-0.3557772223132387,0.23202491874543438
ST100x150,5,4.956873355412041,0.6436972219929813,4.817842578731006,0.1596930809297693,-0.13903077668103503,0.5530184673184172
