trial,mean_q50_validation_rmse_scaled,QCONV_LR,QCONV_BATCH_SIZE,QCONV_EPOCHS,QCONV_PATIENCE,CONV_FILTERS
0,0.6698651971001865,0.001,64,25,5,64
1,0.6620261666105225,0.0003,64,40,10,64
2,0.6655585770754228,0.0001,64,40,10,64
3,0.6602298086141855,0.0003,32,40,10,64
