trial,mean_q50_validation_rmse_scaled,QCONV_LR,QCONV_BATCH_SIZE,QCONV_EPOCHS,QCONV_PATIENCE,CONV_FILTERS
0,1.1231798706916358,0.001,64,25,5,64
1,1.1236376460750699,0.0003,64,40,10,64
