scenario,target,space_split,n_train_space,n_unobs_space,n_target_space,model,alpha_obs,lambda_unobs,row_type,seed,RMSE,MSE,MAE,R2
spatiotemp_100x150,Target_ST100x150,300/200/100,300,200,100,STDK,,,seed,45,4.498227,20.234047,3.531018,-0.504655
spatiotemp_100x150,Target_ST100x150,300/200/100,300,200,100,STDK,,,mean_std,mean +/- std,4.752814 +/- 0.325158,22.694973 +/- 3.212017,3.764318 +/- 0.306009,-0.819963 +/- 0.401956
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,41,5.315869,28.258459,4.065224,0.018289
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,42,5.051171,25.514326,3.862251,0.092705
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,43,5.965707,35.589663,4.513452,0.013582
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,44,5.095063,25.959665,3.985206,0.052154
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,DLINEAR + differentiable_FRK,1.0,1.0,seed,45,6.075708,36.914222,4.693883,-0.126190
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,DLINEAR + differentiable_FRK,1.0,1.0,mean_std,mean +/- std,5.500703 +/- 0.435350,30.447267 +/- 4.848280,4.224003 +/- 0.321766,0.010108 +/- 0.073819
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,STDK,,,seed,41,4.879562,23.810122,3.651847,-0.664130
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,STDK,,,seed,42,5.647634,31.895771,4.540160,-1.809260
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,STDK,,,seed,43,5.944398,35.335865,4.778608,-2.053462
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,STDK,,,seed,44,6.306730,39.774837,5.022615,-2.351573
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,STDK,,,seed,45,4.582238,20.996904,3.629473,-0.901646
spatiotemp_100x150,Target_ST100x150,400/100/100,400,100,100,STDK,,,mean_std,mean +/- std,5.472112 +/- 0.647061,30.362700 +/- 7.018909,4.324541 +/- 0.578898,-1.556014 +/- 0.658507
