model,scenario,separate_RMSE,onefit_RMSE,RMSE_delta,RMSE_delta_percent,separate_MAE,onefit_MAE,MAE_delta,separate_R2,onefit_R2,R2_delta
SVGP,Target_Time150,3.320592,3.248717,-0.071875,-2.16,2.603338,2.573845,-0.029493,0.636323,0.651896,0.015573
SVGP,Target_Space100,3.251627,3.169631,-0.081996,-2.52,2.510879,2.453534,-0.057345,0.745947,0.758599,0.012651
SVGP,Target_ST100x150,3.255117,3.203612,-0.051505,-1.58,2.551797,2.550407,-0.001390,0.630973,0.642559,0.011586
STDK,Target_Time150,4.313021,4.293592,-0.019430,-0.45,3.508868,3.377500,-0.131367,0.386453,0.391968,0.005515
STDK,Target_Space100,4.318465,5.369811,1.051347,24.35,3.430412,4.174917,0.744505,0.551894,0.307148,-0.244745
STDK,Target_ST100x150,4.307308,4.322475,0.015167,0.35,3.526602,3.409251,-0.117351,0.353845,0.349286,-0.004559
DLinear+FRK,Target_Time150,3.791848,3.791848,0.000000,0.00,2.937695,2.937695,0.000000,0.525773,0.525773,0.000000
DLinear+FRK,Target_Space100,3.095808,3.095808,0.000000,0.00,2.241228,2.241228,0.000000,0.769712,0.769712,0.000000
DLinear+FRK,Target_ST100x150,3.735412,3.735412,0.000000,0.00,2.920093,2.920093,0.000000,0.514038,0.514038,0.000000
