stage,trial,mean_q50_validation_rmse_scaled,std_q50_validation_rmse_scaled,QCONV_LR,QCONV_BATCH_SIZE,QCONV_EPOCHS,QCONV_PATIENCE,CONV_FILTERS,QCONV_WEIGHT_DECAY,GRID_SIZE,NEIGHBOURHOOD_RADIUS
capacity,0,0.6494220559238053,0.0024299838758137238,0.0001,64,40,10,32,0.0,5,0.1
capacity,1,0.6495776325818436,0.0034676673236943567,0.0001,64,40,10,32,1e-05,5,0.1
capacity,2,0.6557237894550254,0.013024533145615302,0.0001,64,40,10,64,0.0,5,0.1
capacity,3,0.6548316104583292,0.012430980356456844,0.0001,64,40,10,64,1e-05,5,0.1
