stage,trial,mean_q50_validation_rmse_scaled,std_q50_validation_rmse_scaled,QCONV_LR,QCONV_BATCH_SIZE,QCONV_EPOCHS,QCONV_PATIENCE,CONV_FILTERS,QCONV_WEIGHT_DECAY,GRID_SIZE,NEIGHBOURHOOD_RADIUS
interface,0,0.6539557370858065,0.008311833303440486,0.0001,64,40,10,64,0.0,5,0.1
interface,1,0.6560069757575109,0.00874035806215806,0.0001,64,40,10,64,0.0,8,0.1
interface,2,0.6556199434599923,0.006400235884465533,0.0001,64,40,10,64,0.0,11,0.1
interface,3,0.6649537016976481,0.001967639257748066,0.0001,64,40,10,64,0.0,5,0.2
interface,4,0.6741997534848825,0.012092831598582987,0.0001,64,40,10,64,0.0,8,0.2
interface,5,0.6738423760831391,0.009500429767906715,0.0001,64,40,10,64,0.0,11,0.2
interface,6,0.6656028952437498,0.0046095677485132325,0.0001,64,40,10,64,0.0,5,0.3
interface,7,0.6653684724316575,0.008944994754811753,0.0001,64,40,10,64,0.0,8,0.3
interface,8,0.6822702436535776,0.013596837891614255,0.0001,64,40,10,64,0.0,11,0.3
